# Experiment File Name : PicoGreen_Assay_
# Description : 
# User Name : 
# Last Modified date/time : Oct 02 2018 21:10:07 EDT
# Instrument Type : QuantStudio™ 3 System
# Block Type : 96-Well 0.2-mL Block
# Instrument Name : QuantStudio™ 3 System
# Instrument serial number : 272322288
# Instrument Start Date/time : Dec 04 2018 21:28:45 EST
# Instrument Stop Date/time : Dec 04 2018 22:06:25 EST
# Run Duration : 37 minutes 40 seconds
# Sample volume : 200.0
# Cover temperature : 50.0
# PCR Stage / Cycle where Analysis is performed : Stage 0 Step 0
# Melt Stage where Analysis is performed : NA
# Comments : 

"Well","Cycle Number","x1-m1","x2-m2","x3-m3","x4-m4",
"H7","1.0","11413.762","1778.2013","-29.666613","2764.4233",
"H8","1.0","12462.518","2316.4028","1012.392","2832.8032",
"H9","1.0","10456.962","2010.8002","269.6923","1936.6595",
"A1","2.0","4574925.5","814244.6","5914.7524","1353.4852",
"A10","2.0","84262.64","12038.811","1744.8225","1521.9294",
"A11","2.0","103436.71","16553.414","2601.5007","3191.4685",
"A12","2.0","76548.29","13162.584","2050.2886","587.61835",
"A2","2.0","47605.285","7645.6953","1783.0226","1962.9928",
"A3","2.0","62732.03","10645.755","1520.7803","879.9996",
"A4","2.0","157530.27","29797.734","7861.153","5481.234",
"A5","2.0","227450.02","28815.533","3239.1895","2809.2131",
"A6","2.0","96684.87","16817.992","5797.9785","6438.284",
"A7","2.0","145899.02","23309.516","14678.868","6484.0063",
"A8","2.0","45664.152","8836.733","10714.572","16793.467",
"A9","2.0","77040.086","10074.154","4427.187","5751.3867",
"B1","2.0","483405.25","76608.414","1194.7097","756.8058",
"B10","2.0","43171.082","6651.4126","1604.722","2696.405",
"B11","2.0","113923.74","15795.211","1563.3683","2262.3909",
"B12","2.0","74938.24","11482.959","1182.8794","1609.9225",
"B2","2.0","63895.207","9012.4","938.1916","799.8091",
"B3","2.0","48611.605","6822.7065","1806.5358","3846.016",
"B4","2.0","76648.96","13341.782","5620.4614","3987.5327",
"B5","2.0","31770.17","4418.7056","2075.174","2695.0947",
"B6","2.0","44312.945","11954.42","10542.853","3940.4048",
"B7","2.0","101671.69","12768.8545","2131.0132","2590.5127",
"B8","2.0","38216.457","6252.63","5403.578","6062.6553",
"B9","2.0","68717.94","9273.084","3979.9844","6417.5103",
"C1","2.0","62670.61","9773.306","1421.6613","1438.8441",
"C10","2.0","42718.137","5542.196","702.98517","1240.0615",
"C11","2.0","50024.773","7098.9526","821.39386","1097.3254",
"C12","2.0","73511.68","11361.401","784.82947","896.3984",
"C2","2.0","33644.992","5401.4136","4638.12","4931.8916",
"C3","2.0","54432.96","7815.1426","2653.6804","4541.2056",
"C4","2.0","72791.805","9297.018","2747.636","3983.5942",
"C5","2.0","62607.97","7442.743","2046.3068","1929.9192",
"C6","2.0","396295.84","49472.965","15704.258","4202.942",
"C7","2.0","106534.65","13792.823","4170.5938","4834.338",
"C8","2.0","28747.188","4589.4595","3006.4646","4528.928",
"C9","2.0","59115.223","10437.485","8174.11","8218.392",
"D1","2.0","16939.314","2008.9215","1049.02","1225.0641",
"D10","2.0","57304.516","10786.201","7906.891","9650.574",
"D11","2.0","107930.24","12727.892","3347.8477","5634.241",
"D12","2.0","105786.74","20366.127","2099.6113","1690.945",
"D2","2.0","42130.984","5742.9414","1856.2446","1653.9783",
"D3","2.0","26076.56","4112.28","3024.6602","3887.6458",
